ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
WT1	Wilms tumor 1(WT1)	Homo sapiens		h_tertPathway:Overview of telomerase protein component gene hTert Transcriptional Regulation ,h_tidPathway:Chaperones modulate interferon Signaling Pathway,	General function prediction only,Transcription / Cell division and chromosome partitioning,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001570~vasculogenesis,GO:0001657~ureteric bud development,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001822~kidney development,GO:0003156~regulation of organ formation,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007281~germ cell development,GO:0007356~thorax and anterior abdomen determination,GO:0007507~heart development,GO:0007530~sex determination,GO:0008285~negative regulation of cell proliferation,GO:0008380~RNA splicing,GO:0008406~gonad development,GO:0008584~male gonad development,GO:0009888~tissue development,GO:0017148~negative regulation of translation,GO:0030308~negative regulation of cell growth,GO:0030325~adrenal gland development,GO:0030539~male genitalia development,GO:0030855~epithelial cell differentiation,GO:0032835~glomerulus development,GO:0032836~glomerular basement membrane development,GO:0035802~adrenal cortex formation,GO:0043010~camera-type eye development,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060231~mesenchymal to epithelial transition,GO:0060421~positive regulation of heart growth,GO:0060539~diaphragm development,GO:0060923~cardiac muscle cell fate commitment,GO:0061032~visceral serous pericardium development,GO:0071320~cellular response to cAMP,GO:0071371~cellular response to gonadotropin stimulus,GO:0072075~metanephric mesenchyme development,GO:0072112~glomerular visceral epithelial cell differentiation,GO:0072166~posterior mesonephric tubule development,GO:0072207~metanephric epithelium development,GO:0072284~metanephric S-shaped body morphogenesis,GO:0072302~negative regulation of metanephric glomerular mesangial cell proliferation,GO:2000020~positive regulation of male gonad development,GO:2000195~negative regulation of female gonad development,GO:2001076~positive regulation of metanephric ureteric bud development,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0016607~nuclear speck,	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003676~nucleic acid binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0010385~double-stranded methylated DNA binding,GO:0043565~sequence-specific DNA binding,GO:0044212~transcription regulatory region DNA binding,GO:0044729~hemi-methylated DNA-binding,GO:0046872~metal ion binding,GO:0070742~C2H2 zinc finger domain binding,	IPR000976:Wilm's tumour protein, N-terminal,IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,IPR017987:Wilm's tumour protein,	hsa05202:Transcriptional misregulation in cancer,	136680~Frasier syndrome,156240~Mesothelioma, somatic,194070~Wilms tumor, type 1,194080~Denys-Drash syndrome,256370~Nephrotic syndrome, type 4,608978~Meacham syndrome,		SM00355:ZnF_C2H2,	3D-structure,Alternative initiation,Alternative splicing,Chromosomal rearrangement,Complete proteome,Cytoplasm,Disease mutation,DNA-binding,Isopeptide bond,Metal-binding,Nucleus,Proteomics identification,Reference proteome,Repeat,RNA editing,RNA-binding,Signal,Transcription,Transcription regulation,Tumor suppressor,Ubl conjugation,Zinc,Zinc-finger,	chain:Wilms tumor protein,compositionally biased region:Pro-rich,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO),helix,mutagenesis site,region of interest:Important for interaction with target DNA,sequence conflict,sequence variant,short sequence motif:KTS motif,site:Important for interaction with target DNA,splice variant,strand,turn,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,zinc finger region:C2H2-type 3,zinc finger region:C2H2-type 4,
YTHDC2	YTH domain containing 2(YTHDC2)	Homo sapiens				GO:0006396~RNA processing,GO:0034612~response to tumor necrosis factor,GO:0044829~positive regulation by host of viral genome replication,GO:0070555~response to interleukin-1,	GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,	GO:0003676~nucleic acid binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008186~RNA-dependent ATPase activity,GO:0044822~poly(A) RNA binding,GO:0070063~RNA polymerase binding,GO:1990247~N6-methyladenosine-containing RNA binding,	IPR001374:Single-stranded nucleic acid binding R3H,IPR001650:Helicase, C-terminal,IPR002110:Ankyrin repeat,IPR007275:YTH domain,IPR007502:Helicase-associated domain,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR011709:Domain of unknown function DUF1605,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR020683:Ankyrin repeat-containing domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00393:R3H,SM00487:DEXDc,SM00490:HELICc,SM00847:SM00847,	3D-structure,ANK repeat,ATP-binding,Complete proteome,Helicase,Hydrolase,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,RNA-binding,	chain:Probable ATP-dependent RNA helicase YTHDC2,compositionally biased region:Gly-rich,compositionally biased region:Ser-rich,domain:Helicase ATP-binding,domain:Helicase C-terminal,domain:R3H,domain:YTH,helix,modified residue,nucleotide phosphate-binding region:ATP,repeat:ANK 1,repeat:ANK 2,sequence conflict,sequence variant,short sequence motif:DEAH box,strand,
ADNP	activity dependent neuroprotector homeobox(ADNP)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007614~short-term memory,GO:0009743~response to carbohydrate,GO:0010035~response to inorganic substance,GO:0010629~negative regulation of gene expression,GO:0010835~regulation of protein ADP-ribosylation,GO:0030828~positive regulation of cGMP biosynthetic process,GO:0031668~cellular response to extracellular stimulus,GO:0032091~negative regulation of protein binding,GO:0032147~activation of protein kinase activity,GO:0033484~nitric oxide homeostasis,GO:0043524~negative regulation of neuron apoptotic process,GO:0044849~estrous cycle,GO:0045773~positive regulation of axon extension,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050805~negative regulation of synaptic transmission,GO:0051965~positive regulation of synapse assembly,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0030424~axon,GO:0030425~dendrite,GO:0043025~neuronal cell body,	GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0042277~peptide binding,GO:0046872~metal ion binding,GO:0048487~beta-tubulin binding,	IPR001356:Homeodomain,IPR007087:Zinc finger, C2H2,IPR009057:Homeodomain-like,IPR015880:Zinc finger, C2H2-like,		615873~Helsmoortel-van der Aa syndrome,		SM00355:ZnF_C2H2,SM00389:HOX,	Acetylation,Autism spectrum disorder,Complete proteome,DNA-binding,Homeobox,Isopeptide bond,Mental retardation,Metal-binding,Methylation,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,	chain:Activity-dependent neuroprotector homeobox protein,DNA-binding region:Homeobox,modified residue,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2; atypical,zinc finger region:C2H2-type 3,zinc finger region:C2H2-type 4,zinc finger region:C2H2-type 5; atypical,zinc finger region:C2H2-type 6; atypical,zinc finger region:C2H2-type 7,zinc finger region:C2H2-type 8; atypical,zinc finger region:C2H2-type 9; atypical,
ASXL2	additional sex combs like 2, transcriptional regulator(ASXL2)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0035360~positive regulation of peroxisome proliferator activated receptor signaling pathway,GO:0045600~positive regulation of fat cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005654~nucleoplasm,	GO:0003677~DNA binding,GO:0042975~peroxisome proliferator activated receptor binding,GO:0046872~metal ion binding,	IPR007759:DNA-directed RNA polymerase delta subunit,IPR024811:Polycomb protein ASX/ASX-like,IPR024817:ASX-like protein 2,IPR026905:Protein ASX-like, PHD domain,					Alternative splicing,Chromosomal rearrangement,Complete proteome,Metal-binding,Methylation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Putative Polycomb group protein ASXL2,compositionally biased region:Ala-rich,compositionally biased region:Gly-rich,compositionally biased region:Poly-Leu,compositionally biased region:Poly-Ser,compositionally biased region:Ser-rich,modified residue,sequence conflict,sequence variant,short sequence motif:LXXLL motif 1,short sequence motif:LXXLL motif 2,short sequence motif:Nuclear localization signal,site:Breakpoint for translocation to form MYST3-ASXL2 protein,splice variant,zinc finger region:PHD-type; atypical,
ASTE1	asteroid homolog 1 (Drosophila)(ASTE1)	Homo sapiens				GO:0006281~DNA repair,GO:0090305~nucleic acid phosphodiester bond hydrolysis,		GO:0004518~nuclease activity,GO:0005515~protein binding,	IPR006085:XPG N-terminal,IPR026832:Asteroid,					Alternative splicing,Complete proteome,Proteomics identification,Reference proteome,	chain:Protein asteroid homolog 1,sequence conflict,
BMPR2	bone morphogenetic protein receptor type 2(BMPR2)	Homo sapiens		h_alkPathway:ALK in cardiac myocytes,		GO:0001707~mesoderm formation,GO:0001893~maternal placenta development,GO:0001935~endothelial cell proliferation,GO:0001938~positive regulation of endothelial cell proliferation,GO:0001946~lymphangiogenesis,GO:0001974~blood vessel remodeling,GO:0002063~chondrocyte development,GO:0003085~negative regulation of systemic arterial blood pressure,GO:0003148~outflow tract septum morphogenesis,GO:0003151~outflow tract morphogenesis,GO:0003181~atrioventricular valve morphogenesis,GO:0003183~mitral valve morphogenesis,GO:0003186~tricuspid valve morphogenesis,GO:0003197~endocardial cushion development,GO:0003252~negative regulation of cell proliferation involved in heart valve morphogenesis,GO:0006366~transcription from RNA polymerase II promoter,GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway,GO:0007420~brain development,GO:0009267~cellular response to starvation,GO:0009952~anterior/posterior pattern specification,GO:0010595~positive regulation of endothelial cell migration,GO:0010634~positive regulation of epithelial cell migration,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0014916~regulation of lung blood pressure,GO:0023014~signal transduction by protein phosphorylation,GO:0030166~proteoglycan biosynthetic process,GO:0030308~negative regulation of cell growth,GO:0030501~positive regulation of bone mineralization,GO:0030509~BMP signaling pathway,GO:0030513~positive regulation of BMP signaling pathway,GO:0032924~activin receptor signaling pathway,GO:0042127~regulation of cell proliferation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045778~positive regulation of ossification,GO:0045906~negative regulation of vasoconstriction,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048010~vascular endothelial growth factor receptor signaling pathway,GO:0048286~lung alveolus development,GO:0048738~cardiac muscle tissue development,GO:0048842~positive regulation of axon extension involved in axon guidance,GO:0060173~limb development,GO:0060350~endochondral bone morphogenesis,GO:0060412~ventricular septum morphogenesis,GO:0060413~atrial septum morphogenesis,GO:0060836~lymphatic endothelial cell differentiation,GO:0060840~artery development,GO:0060841~venous blood vessel development,GO:0061036~positive regulation of cartilage development,GO:0061298~retina vasculature development in camera-type eye,GO:0061626~pharyngeal arch artery morphogenesis,GO:0071773~cellular response to BMP stimulus,GO:0072577~endothelial cell apoptotic process,GO:1902731~negative regulation of chondrocyte proliferation,GO:2000279~negative regulation of DNA biosynthetic process,	GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0005911~cell-cell junction,GO:0009925~basal plasma membrane,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0016324~apical plasma membrane,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0044214~spanning component of plasma membrane,	GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016362~activin receptor activity, type II,GO:0019838~growth factor binding,GO:0036122~BMP binding,GO:0046872~metal ion binding,GO:0098821~BMP receptor activity,	IPR000333:Activin type II/Transforming growth factor-beta II receptor,IPR000472:TGF-beta receptor/activin receptor, type I/II,IPR000719:Protein kinase, catalytic domain,IPR011009:Protein kinase-like domain,IPR015770:Bone morphogenic protein type II receptor,IPR017441:Protein kinase, ATP binding site,	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa05206:MicroRNAs in cancer,	178600~Pulmonary hypertension, familial primary, 1, with or without HHT,178600~Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated,265450~Pulmonary venoocclusive disease 1,			3D-structure,Alternative splicing,ATP-binding,Cell membrane,Complete proteome,Disease mutation,Disulfide bond,Glycoprotein,Kinase,Magnesium,Manganese,Membrane,Metal-binding,Nucleotide-binding,Phosphoprotein,Polymorphism,Receptor,Reference proteome,Serine/threonine-protein kinase,Signal,Transferase,Transmembrane,Transmembrane helix,	active site:Proton acceptor,binding site:ATP,chain:Bone morphogenetic protein receptor type- 2,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Ser,compositionally biased region:Poly-Thr,disulfide bond,domain:Protein kinase,glycosylation site:N-linked (GlcNAc...),helix,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,signal peptide,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
CTNND1	catenin delta 1(CTNND1)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007155~cell adhesion,GO:0007420~brain development,GO:0016055~Wnt signaling pathway,GO:0016337~single organismal cell-cell adhesion,GO:0034332~adherens junction organization,GO:0090090~negative regulation of canonical Wnt signaling pathway,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0005913~cell-cell adherens junction,GO:0005915~zonula adherens,GO:0030027~lamellipodium,GO:0030426~growth cone,GO:0030496~midbody,GO:0043197~dendritic spine,GO:0070062~extracellular exosome,	GO:0005102~receptor binding,GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0045296~cadherin binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR000225:Armadillo,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,	hsa04015:Rap1 signaling pathway,hsa04520:Adherens junction,hsa04670:Leukocyte transendothelial migration,			SM00185:ARM,	3D-structure,Acetylation,Alternative initiation,Alternative splicing,Cell adhesion,Cell membrane,Coiled coil,Complete proteome,Cytoplasm,Membrane,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Wnt signaling pathway,	chain:Catenin delta-1,modified residue,repeat:ARM 1,repeat:ARM 10,repeat:ARM 2,repeat:ARM 3,repeat:ARM 4,repeat:ARM 5,repeat:ARM 6,repeat:ARM 7,repeat:ARM 8,repeat:ARM 9,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,splice variant,
CNTN6	contactin 6(CNTN6)	Homo sapiens				GO:0007155~cell adhesion,GO:0007219~Notch signaling pathway,GO:0007417~central nervous system development,GO:0030182~neuron differentiation,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031225~anchored component of membrane,	GO:0005112~Notch binding,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,				SM00060:FN3,SM00408:IGc2,SM00409:IG,	Cell adhesion,Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,GPI-anchor,Immunoglobulin domain,Lipoprotein,Membrane,Notch signaling pathway,Phosphoprotein,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Contactin-6,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,domain:Ig-like C2-type 5,domain:Ig-like C2-type 6,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:GPI-anchor amidated serine,modified residue,propeptide:Removed in mature form,sequence variant,signal peptide,
COBLL1	cordon-bleu WH2 repeat protein like 1(COBLL1)	Homo sapiens				GO:0030041~actin filament polymerization,GO:0051639~actin filament network formation,GO:0098609~cell-cell adhesion,	GO:0005913~cell-cell adherens junction,GO:0070062~extracellular exosome,	GO:0003785~actin monomer binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR003124:WH2 domain,IPR019025:Cordon-bleu domain,					3D-structure,Alternative splicing,Complete proteome,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,	chain:Cordon-bleu protein-like 1,domain:WH2,helix,modified residue,sequence conflict,short sequence motif:KKRRAP 1,short sequence motif:KKRRAP 2,splice variant,strand,turn,
CDKN2A	cyclin dependent kinase inhibitor 2A(CDKN2A)	Homo sapiens	1.RBphosphoE2F,26.cyclin-CDK_complexes,94.E2F_transcriptional_activity_cell_cycle,	h_arfPathway:Tumor Suppressor Arf Inhibits Ribosomal Biogenesis,h_cellcyclePathway:Cyclins and Cell Cycle Regulation,h_ctcfPathway:CTCF: First Multivalent Nuclear Factor,h_g1Pathway:Cell Cycle: G1/S Check Point ,		GO:0000082~G1/S transition of mitotic cell cycle,GO:0000209~protein polyubiquitination,GO:0000422~mitophagy,GO:0001953~negative regulation of cell-matrix adhesion,GO:0006351~transcription, DNA-templated,GO:0006364~rRNA processing,GO:0006469~negative regulation of protein kinase activity,GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0007050~cell cycle arrest,GO:0007265~Ras protein signal transduction,GO:0008285~negative regulation of cell proliferation,GO:0008637~apoptotic mitochondrial changes,GO:0010389~regulation of G2/M transition of mitotic cell cycle,GO:0016925~protein sumoylation,GO:0030308~negative regulation of cell growth,GO:0030889~negative regulation of B cell proliferation,GO:0031647~regulation of protein stability,GO:0031648~protein destabilization,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0033088~negative regulation of immature T cell proliferation in thymus,GO:0033235~positive regulation of protein sumoylation,GO:0034393~positive regulation of smooth muscle cell apoptotic process,GO:0035986~senescence-associated heterochromatin focus assembly,GO:0042326~negative regulation of phosphorylation,GO:0043065~positive regulation of apoptotic process,GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator,GO:0045736~negative regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046825~regulation of protein export from nucleus,GO:0048103~somatic stem cell division,GO:0050821~protein stabilization,GO:0051444~negative regulation of ubiquitin-protein transferase activity,GO:0051882~mitochondrial depolarization,GO:0070534~protein K63-linked ubiquitination,GO:0071158~positive regulation of cell cycle arrest,GO:0090398~cellular senescence,GO:0090399~replicative senescence,GO:1900182~positive regulation of protein localization to nucleus,GO:1901798~positive regulation of signal transduction by p53 class mediator,GO:1902510~regulation of apoptotic DNA fragmentation,GO:1903051~negative regulation of proteolysis involved in cellular protein catabolic process,GO:1903214~regulation of protein targeting to mitochondrion,GO:2000059~negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:2000111~positive regulation of macrophage apoptotic process,GO:2000774~positive regulation of cellular senescence,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0035985~senescence-associated heterochromatin focus,GO:0043234~protein complex,	GO:0002039~p53 binding,GO:0003677~DNA binding,GO:0004861~cyclin-dependent protein serine/threonine kinase inhibitor activity,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0016301~kinase activity,GO:0019789~SUMO transferase activity,GO:0019901~protein kinase binding,GO:0044822~poly(A) RNA binding,GO:0051059~NF-kappaB binding,GO:0055105~ubiquitin-protein transferase inhibitor activity,GO:0097371~MDM2/MDM4 family protein binding,	IPR010868:Cyclin-dependent kinase inhibitor 2A,IPR020683:Ankyrin repeat-containing domain,	hsa04110:Cell cycle,hsa04115:p53 signaling pathway,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05206:MicroRNAs in cancer,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05223:Non-small cell lung cancer,	155601~Melanoma, cutaneous malignant, 2,155755~Melanoma and neural system tumor syndrome,606719~Pancreatic cancer/melanoma syndrome,Orolaryngeal cancer, multiple,~Orolaryngeal cancer, multiple,,			3D-structure,Acetylation,Alternative splicing,ANK repeat,Apoptosis,Cell cycle,Complete proteome,Cyclin,Cytoplasm,Disease mutation,DNA-binding,Kinase,Li-Fraumeni syndrome,Mitochondrion,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,rRNA processing,Transcription,Transcription regulation,Transferase,Tumor suppressor,Ubl conjugation,Ubl conjugation pathway,	chain:Cyclin-dependent kinase inhibitor 2A, isoform 4,chain:Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3,helix,modified residue,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,sequence conflict,sequence variant,splice variant,strand,turn,
ESRP1	epithelial splicing regulatory protein 1(ESRP1)	Homo sapiens				GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0043484~regulation of RNA splicing,	GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003729~mRNA binding,GO:0005515~protein binding,	IPR000504:RNA recognition motif domain,IPR012337:Ribonuclease H-like domain,IPR012677:Nucleotide-binding, alpha-beta plait,				SM00360:RRM,	3D-structure,Alternative splicing,Complete proteome,Methylation,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,RNA-binding,	chain:Epithelial splicing regulatory protein 1,domain:RRM 1,domain:RRM 2,domain:RRM 3,helix,sequence conflict,sequence variant,splice variant,strand,turn,
EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1(EIF2AK1)	Homo sapiens		h_eif2Pathway:Regulation of eIF2,		GO:0002526~acute inflammatory response,GO:0006909~phagocytosis,GO:0006950~response to stress,GO:0008285~negative regulation of cell proliferation,GO:0009605~response to external stimulus,GO:0010998~regulation of translational initiation by eIF2 alpha phosphorylation,GO:0010999~regulation of eIF2 alpha phosphorylation by heme,GO:0030225~macrophage differentiation,GO:0045993~negative regulation of translational initiation by iron,GO:0046501~protoporphyrinogen IX metabolic process,GO:0046777~protein autophosphorylation,GO:0046986~negative regulation of hemoglobin biosynthetic process,GO:0055072~iron ion homeostasis,	GO:0005737~cytoplasm,	GO:0003743~translation initiation factor activity,GO:0004694~eukaryotic translation initiation factor 2alpha kinase activity,GO:0005524~ATP binding,GO:0020037~heme binding,GO:0042803~protein homodimerization activity,	IPR000719:Protein kinase, catalytic domain,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,	hsa04141:Protein processing in endoplasmic reticulum,hsa05160:Hepatitis C,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,			SM00220:S_TKc,	Alternative splicing,ATP-binding,Coiled coil,Complete proteome,Cytoplasm,Disulfide bond,Initiation factor,Kinase,Nucleotide-binding,Phosphoprotein,Polymorphism,Protein biosynthesis,Protein synthesis inhibitor,Proteomics identification,Reference proteome,Repeat,Serine/threonine-protein kinase,Signal,Transferase,	active site:Proton acceptor,binding site:ATP,chain:Eukaryotic translation initiation factor 2-alpha kinase 1,domain:Protein kinase,modified residue,nucleotide phosphate-binding region:ATP,repeat:HRM 1,repeat:HRM 2,sequence conflict,sequence variant,splice variant,
FAM111B	family with sequence similarity 111 member B(FAM111B)	Homo sapiens						GO:0005515~protein binding,	IPR009003:Trypsin-like cysteine/serine peptidase domain,		615704~Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis,			Acetylation,Alternative splicing,Complete proteome,Disease mutation,Polymorphism,Proteomics identification,Reference proteome,	chain:Protein FAM111B,sequence conflict,sequence variant,splice variant,
GRIK2	glutamate ionotropic receptor kainate type subunit 2(GRIK2)	Homo sapiens				GO:0001662~behavioral fear response,GO:0006810~transport,GO:0006874~cellular calcium ion homeostasis,GO:0006886~intracellular protein transport,GO:0007215~glutamate receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0019228~neuronal action potential,GO:0034220~ion transmembrane transport,GO:0035235~ionotropic glutamate receptor signaling pathway,GO:0035249~synaptic transmission, glutamatergic,GO:0043113~receptor clustering,GO:0043524~negative regulation of neuron apoptotic process,GO:0043525~positive regulation of neuron apoptotic process,GO:0046328~regulation of JNK cascade,GO:0048169~regulation of long-term neuronal synaptic plasticity,GO:0048172~regulation of short-term neuronal synaptic plasticity,GO:0050804~modulation of synaptic transmission,GO:0050806~positive regulation of synaptic transmission,GO:0051402~neuron apoptotic process,GO:0051967~negative regulation of synaptic transmission, glutamatergic,GO:0060079~excitatory postsynaptic potential,GO:0060080~inhibitory postsynaptic potential,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0014069~postsynaptic density,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0032839~dendrite cytoplasm,GO:0032983~kainate selective glutamate receptor complex,GO:0042734~presynaptic membrane,GO:0043195~terminal bouton,GO:0043204~perikaryon,GO:0045211~postsynaptic membrane,	GO:0004970~ionotropic glutamate receptor activity,GO:0005234~extracellular-glutamate-gated ion channel activity,GO:0015276~ligand-gated ion channel activity,GO:0015277~kainate selective glutamate receptor activity,GO:0030165~PDZ domain binding,GO:0031624~ubiquitin conjugating enzyme binding,GO:0031625~ubiquitin protein ligase binding,GO:0042803~protein homodimerization activity,	IPR001320:Ionotropic glutamate receptor,IPR001508:NMDA receptor,IPR001828:Extracellular ligand-binding receptor,IPR019594:Glutamate receptor, L-glutamate/glycine-binding,	hsa04080:Neuroactive ligand-receptor interaction,hsa04724:Glutamatergic synapse,	611092~Mental retardation, autosomal recessive, 6,		SM00079:PBPe,SM00918:SM00918,	3D-structure,Alternative splicing,Cell junction,Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,Ion channel,Ion transport,Isopeptide bond,Ligand-gated ion channel,Membrane,Mental retardation,Phosphoprotein,Polymorphism,Postsynaptic cell membrane,Proteomics identification,Receptor,Reference proteome,RNA editing,Signal,Synapse,Transmembrane,Transmembrane helix,Transport,Ubl conjugation,	binding site:Glutamate,chain:Glutamate receptor, ionotropic kainate 2,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO-1),glycosylation site:N-linked (GlcNAc...),region of interest:Glutamate binding,sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
