ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
KMT2D	lysine methyltransferase 2D(KMT2D)	Homo sapiens			General function prediction only,	GO:0001555~oocyte growth,GO:0006342~chromatin silencing,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0008284~positive regulation of cell proliferation,GO:0033148~positive regulation of intracellular estrogen receptor signaling pathway,GO:0043627~response to estrogen,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048477~oogenesis,GO:0051568~histone H3-K4 methylation,GO:1904837~beta-catenin-TCF complex assembly,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0035097~histone methyltransferase complex,GO:0044666~MLL3/4 complex,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0008168~methyltransferase activity,GO:0008270~zinc ion binding,GO:0018024~histone-lysine N-methyltransferase activity,GO:0042800~histone methyltransferase activity (H3-K4 specific),GO:0044212~transcription regulatory region DNA binding,	IPR001214:SET domain,IPR001841:Zinc finger, RING-type,IPR001965:Zinc finger, PHD-type,IPR003616:Post-SET domain,IPR003888:FY-rich, N-terminal,IPR003889:FY-rich, C-terminal,IPR009071:High mobility group (HMG) box domain,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR019787:Zinc finger, PHD-finger,	hsa00310:Lysine degradation,	147920~Kabuki syndrome 1,		SM00184:RING,SM00249:PHD,SM00317:SET,SM00398:HMG,SM00508:PostSET,SM00541:FYRN,SM00542:FYRC,	3D-structure,Acetylation,Alternative splicing,Chromatin regulator,Coiled coil,Complete proteome,Disease mutation,Isopeptide bond,Mental retardation,Metal-binding,Methylation,Methyltransferase,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,S-adenosyl-L-methionine,Transcription,Transcription regulation,Transferase,Ubl conjugation,Zinc,Zinc-finger,	binding site:S-adenosyl-L-methionine,chain:Histone-lysine N-methyltransferase MLL2,compositionally biased region:Arg-rich,compositionally biased region:Cys-rich,compositionally biased region:Gln-rich,compositionally biased region:Pro-rich,domain:Post-SET,domain:SET,metal ion-binding site:Zinc,modified residue,region of interest:15 X 5 AA repeats of S/P-P-P-E/P-E/A,region of interest:S-adenosyl-L-methionine binding,repeat:1,repeat:10,repeat:11,repeat:12,repeat:13,repeat:14,repeat:15,repeat:2,repeat:3,repeat:4,repeat:5,repeat:6,repeat:7,repeat:8,repeat:9,sequence variant,short sequence motif:LXXLL motif 1,short sequence motif:LXXLL motif 2,short sequence motif:LXXLL motif 3,short sequence motif:LXXLL motif 4,short sequence motif:LXXLL motif 5,short sequence motif:LXXLL motif 6,splice variant,zinc finger region:PHD-type 1,zinc finger region:PHD-type 2,zinc finger region:PHD-type 3,zinc finger region:PHD-type 4,zinc finger region:PHD-type 5,zinc finger region:RING-type,
HLA-A	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens	70.Signal_peptides_(MHC)_class_I_molecules,	h_ctlPathway:CTL mediated immune response against target cells ,h_mhcPathway:Antigen Processing and Presentation,h_nkcellsPathway:Ras-Independent pathway in NK cell-mediated cytotoxicity,		GO:0001916~positive regulation of T cell mediated cytotoxicity,GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent,GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent,GO:0002726~positive regulation of T cell cytokine production,GO:0006955~immune response,GO:0016032~viral process,GO:0016045~detection of bacterium,GO:0019731~antibacterial humoral response,GO:0019882~antigen processing and presentation,GO:0019885~antigen processing and presentation of endogenous peptide antigen via MHC class I,GO:0032729~positive regulation of interferon-gamma production,GO:0042270~protection from natural killer cell mediated cytotoxicity,GO:0050690~regulation of defense response to virus by virus,GO:0050776~regulation of immune response,GO:0050830~defense response to Gram-positive bacterium,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:2000566~positive regulation of CD8-positive, alpha-beta T cell proliferation,GO:2000568~positive regulation of memory T cell activation,GO:2001187~positive regulation of CD8-positive, alpha-beta T cell activation,	GO:0000139~Golgi membrane,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005797~Golgi medial cisterna,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0012507~ER to Golgi transport vesicle membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030670~phagocytic vesicle membrane,GO:0031901~early endosome membrane,GO:0042612~MHC class I protein complex,GO:0042613~MHC class II protein complex,GO:0070062~extracellular exosome,GO:0070971~endoplasmic reticulum exit site,GO:0071556~integral component of lumenal side of endoplasmic reticulum membrane,	GO:0005102~receptor binding,GO:0005515~protein binding,GO:0030881~beta-2-microglobulin binding,GO:0042605~peptide antigen binding,GO:0042608~T cell receptor binding,GO:0044822~poly(A) RNA binding,GO:0046977~TAP binding,	IPR000353:MHC class II, beta chain, N-terminal,IPR001039:MHC class I, alpha chain, alpha1/alpha2,IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR010579:MHC class I, alpha chain, C-terminal,IPR011161:MHC class I-like antigen recognition,IPR011162:MHC classes I/II-like antigen recognition protein,IPR013783:Immunoglobulin-like fold,IPR014745:MHC class II, alpha/beta chain, N-terminal,	hsa04144:Endocytosis,hsa04145:Phagosome,hsa04514:Cell adhesion molecules (CAMs),hsa04612:Antigen processing and presentation,hsa04940:Type I diabetes mellitus,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05203:Viral carcinogenesis,hsa05320:Autoimmune thyroid disease,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,hsa05416:Viral myocarditis,	608579~Hypersensitivity syndrome, carbamazepine-induced, susceptibility to,		SM00407:IGc1,SM00921:SM00921,	3D-structure,Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Host-virus interaction,Immunity,Immunoglobulin domain,Membrane,MHC I,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Signal,Sulfation,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:HLA class I histocompatibility antigen, A-1 alpha chain,chain:HLA class I histocompatibility antigen, A-11 alpha chain,chain:HLA class I histocompatibility antigen, A-2 alpha chain,chain:HLA class I histocompatibility antigen, A-23 alpha chain,chain:HLA class I histocompatibility antigen, A-24 alpha chain,chain:HLA class I histocompatibility antigen, A-25 alpha chain,chain:HLA class I histocompatibility antigen, A-26 alpha chain,chain:HLA class I histocompatibility antigen, A-29 alpha chain,chain:HLA class I histocompatibility antigen, A-3 alpha chain,chain:HLA class I histocompatibility antigen, A-31 alpha chain,chain:HLA class I histocompatibility antigen, A-32 alpha chain,chain:HLA class I histocompatibility antigen, A-34 alpha chain,chain:HLA class I histocompatibility antigen, A-36 alpha chain,chain:HLA class I histocompatibility antigen, A-43 alpha chain,chain:HLA class I histocompatibility antigen, A-66 alpha chain,chain:HLA class I histocompatibility antigen, A-68 alpha chain,chain:HLA class I histocompatibility antigen, A-69 alpha chain,chain:HLA class I histocompatibility antigen, A-80 alpha chain,chain:MHC class I antigen,disulfide bond,domain:Ig-like C1-type,glycosylation site:N-linked (GlcNAc...),helix,modified residue,region of interest:Alpha-1,region of interest:Alpha-2,region of interest:Alpha-3,region of interest:Connecting peptide,sequence conflict,sequence variant,signal peptide,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
MED23	mediator complex subunit 23(MED23)	Homo sapiens				GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006367~transcription initiation from RNA polymerase II promoter,	GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,	GO:0003713~transcription coactivator activity,GO:0005515~protein binding,	IPR021629:Mediator complex, subunit Med23,		614249~Mental retardation, autosomal recessive 18,			Activator,Alternative splicing,Complete proteome,Direct protein sequencing,Disease mutation,Mental retardation,Nucleus,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:Mediator of RNA polymerase II transcription subunit 23,modified residue,sequence conflict,splice variant,
MBD2	methyl-CpG binding domain protein 2(MBD2)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000183~chromatin silencing at rDNA,GO:0006346~methylation-dependent chromatin silencing,GO:0006351~transcription, DNA-templated,GO:0007507~heart development,GO:0007568~aging,GO:0009612~response to mechanical stimulus,GO:0030177~positive regulation of Wnt signaling pathway,GO:0031667~response to nutrient levels,GO:0032355~response to estradiol,GO:0035563~positive regulation of chromatin binding,GO:0042127~regulation of cell proliferation,GO:0042711~maternal behavior,GO:0043044~ATP-dependent chromatin remodeling,GO:0043623~cellular protein complex assembly,GO:0044030~regulation of DNA methylation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0048568~embryonic organ development,GO:0071407~cellular response to organic cyclic compound,	GO:0000118~histone deacetylase complex,GO:0000790~nuclear chromatin,GO:0000792~heterochromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0043234~protein complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000980~RNA polymerase II distal enhancer sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003696~satellite DNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,GO:0008327~methyl-CpG binding,GO:0019904~protein domain specific binding,GO:0031492~nucleosomal DNA binding,GO:0035197~siRNA binding,GO:0070742~C2H2 zinc finger domain binding,	IPR001739:Methyl-CpG DNA binding,IPR016177:DNA-binding, integrase-type,IPR025884:Methyl-CpG binding protein 2/3, C-terminal domain,				SM00391:MBD,	3D-structure,Alternative splicing,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:Methyl-CpG-binding domain protein 2,compositionally biased region:Arg-rich,compositionally biased region:Gly-rich,domain:MBD,modified residue,splice variant,
MBD6	methyl-CpG binding domain protein 6(MBD6)	Homo sapiens					GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0010369~chromocenter,	GO:0003677~DNA binding,GO:0003682~chromatin binding,	IPR001739:Methyl-CpG DNA binding,IPR016177:DNA-binding, integrase-type,				SM00391:MBD,	Chromosome,Complete proteome,Nucleus,Proteomics identification,Reference proteome,	chain:Methyl-CpG-binding domain protein 6,compositionally biased region:Pro-rich,domain:MBD,sequence conflict,
MCM7	minichromosome maintenance complex component 7(MCM7)	Homo sapiens		h_mcmPathway:CDK Regulation of DNA Replication,		GO:0000082~G1/S transition of mitotic cell cycle,GO:0006260~DNA replication,GO:0006268~DNA unwinding involved in DNA replication,GO:0006270~DNA replication initiation,GO:0006974~cellular response to DNA damage stimulus,GO:0008283~cell proliferation,GO:0042325~regulation of phosphorylation,GO:0042493~response to drug,GO:0071364~cellular response to epidermal growth factor stimulus,GO:0071466~cellular response to xenobiotic stimulus,	GO:0000784~nuclear chromosome, telomeric region,GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0042555~MCM complex,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0003697~single-stranded DNA binding,GO:0004003~ATP-dependent DNA helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR001208:Mini-chromosome maintenance, DNA-dependent ATPase,IPR003593:AAA+ ATPase domain,IPR008050:DNA replication licensing factor Mcm7,IPR012340:Nucleic acid-binding, OB-fold,IPR018525:Mini-chromosome maintenance, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa03030:DNA replication,hsa04110:Cell cycle,			SM00350:MCM,SM00382:AAA,	Acetylation,Alternative splicing,ATP-binding,Cell cycle,Complete proteome,Direct protein sequencing,DNA replication,DNA-binding,Glycoprotein,Helicase,Hydrolase,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:DNA replication licensing factor mcm7,domain:MCM,modified residue,nucleotide phosphate-binding region:ATP,region of interest:Interaction with ATRIP,region of interest:Interaction with RAD17,sequence conflict,sequence variant,splice variant,
MAP2K4	mitogen-activated protein kinase kinase 4(MAP2K4)	Homo sapiens	100.MAPK_signaling_cascades,77.IkBa_Kinase_JNK_MEKK1,	h_at1rPathway:Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling,h_ceramidePathway:Ceramide Signaling Pathway,h_egfPathway:EGF Signaling Pathway,h_fasPathway:FAS signaling pathway ( CD95 ),h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells,h_gleevecPathway:Inhibition of Cellular Proliferation by Gleevec,h_keratinocytePathway:Keratinocyte Differentiation,h_mapkPathway:MAPKinase Signaling Pathway,h_p38mapkPathway:p38 MAPK Signaling Pathway ,h_pdgfPathway:PDGF Signaling Pathway,h_pyk2Pathway:Links between Pyk2 and Map Kinases,h_stressPathway:TNF/Stress Related Signaling,h_tcrPathway:T Cell Receptor Signaling Pathway,h_tnfr1Pathway:TNFR1 Signaling Pathway,h_tollPathway:Toll-Like Receptor Pathway,		GO:0006915~apoptotic process,GO:0007165~signal transduction,GO:0007254~JNK cascade,GO:0007257~activation of JUN kinase activity,GO:0009611~response to wounding,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0034393~positive regulation of smooth muscle cell apoptotic process,GO:0035897~proteolysis in other organism,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043525~positive regulation of neuron apoptotic process,GO:0045740~positive regulation of DNA replication,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0061049~cell growth involved in cardiac muscle cell development,GO:0071260~cellular response to mechanical stimulus,GO:0072709~cellular response to sorbitol,GO:2000672~negative regulation of motor neuron apoptotic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0030424~axon,GO:0032839~dendrite cytoplasm,GO:0043204~perikaryon,	GO:0004672~protein kinase activity,GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008545~JUN kinase kinase activity,GO:0031435~mitogen-activated protein kinase kinase kinase binding,	IPR000719:Protein kinase, catalytic domain,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04668:TNF signaling pathway,hsa04912:GnRH signaling pathway,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05142:Chagas disease (American trypanosomiasis),hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,			SM00220:S_TKc,	3D-structure,Acetylation,Alternative splicing,Apoptosis,ATP-binding,Complete proteome,Cytoplasm,Kinase,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Stress response,Transferase,Tyrosine-protein kinase,	active site:Proton acceptor,binding site:ATP,chain:Dual specificity mitogen-activated protein kinase kinase 4,compositionally biased region:Gly/Ser-rich,domain:Protein kinase,modified residue,nucleotide phosphate-binding region:ATP,sequence variant,site:Cleavage; by anthrax lethal factor,
MAP3K1	mitogen-activated protein kinase kinase kinase 1(MAP3K1)	Homo sapiens	100.MAPK_signaling_cascades,102.Cholesterol_Stress_Response,158.14-3-3_signal_transduction,159.14-3-3_Apoptosis,68.Mitogen_signaling_in_growth_control,77.IkBa_Kinase_JNK_MEKK1,	h_41BBPathway:The 4-1BB-dependent immune response,h_at1rPathway:Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling,h_bcrPathway:BCR Signaling Pathway,h_cd40Pathway:CD40L Signaling Pathway,h_ceramidePathway:Ceramide Signaling Pathway,h_egfPathway:EGF Signaling Pathway,h_egfr_smrtePathway:Map Kinase Inactivation of SMRT Corepressor,h_fasPathway:FAS signaling pathway ( CD95 ),h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells,h_fmlpPathway:fMLP induced chemokine gene expression in HMC-1 cells,h_gleevecPathway:Inhibition of Cellular Proliferation by Gleevec,h_hcmvPathway:Human Cytomegalovirus and Map Kinase Pathways,h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_il1rPathway:Signal transduction through IL1R,h_keratinocytePathway:Keratinocyte Differentiation,h_malPathway:Role of MAL in Rho-Mediated Activation of SRF,h_mapkPathway:MAPKinase Signaling Pathway,h_nfkbPathway:NF-kB Signaling Pathway,h_p38mapkPathway:p38 MAPK Signaling Pathway ,h_pdgfPathway:PDGF Signaling Pathway,h_pyk2Pathway:Links between Pyk2 and Map Kinases,h_rac1Pathway:Rac 1 cell motility signaling pathway,h_stressPathway:TNF/Stress Related Signaling,h_tcrPathway:T Cell Receptor Signaling Pathway,h_tnfr1Pathway:TNFR1 Signaling Pathway,h_tnfr2Pathway:TNFR2 Signaling Pathway,h_tollPathway:Toll-Like Receptor Pathway,h_vipPathway:Neuropeptides VIP and PACAP inhibit the apoptosis of activated T cells,	General function prediction only,	GO:0000165~MAPK cascade,GO:0000186~activation of MAPKK activity,GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0006468~protein phosphorylation,GO:0006915~apoptotic process,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0071260~cellular response to mechanical stimulus,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0004709~MAP kinase kinase kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0019901~protein kinase binding,	IPR000719:Protein kinase, catalytic domain,IPR001841:Zinc finger, RING-type,IPR007527:Zinc finger, SWIM-type,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR016024:Armadillo-type fold,IPR017441:Protein kinase, ATP binding site,	hsa04010:MAPK signaling pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04622:RIG-I-like receptor signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa04912:GnRH signaling pathway,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,	613762~46XY sex reversal 6,		SM00220:S_TKc,	Acetylation,ATP-binding,Complete proteome,Kinase,Magnesium,Metal-binding,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,Serine/threonine-protein kinase,Transferase,Zinc,Zinc-finger,	active site:Proton acceptor,binding site:ATP,chain:Mitogen-activated protein kinase kinase kinase 1,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Ile,compositionally biased region:Poly-Ser,compositionally biased region:Poly-Thr,domain:Protein kinase,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,zinc finger region:RING-type,zinc finger region:SWIM-type,
MBNL1	muscleblind like splicing regulator 1(MBNL1)	Homo sapiens				GO:0001701~in utero embryonic development,GO:0006397~mRNA processing,GO:0007399~nervous system development,GO:0008380~RNA splicing,GO:0030326~embryonic limb morphogenesis,GO:0043484~regulation of RNA splicing,GO:0045445~myoblast differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0010494~cytoplasmic stress granule,	GO:0001069~regulatory region RNA binding,GO:0003723~RNA binding,GO:0003725~double-stranded RNA binding,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,GO:0046872~metal ion binding,	IPR000571:Zinc finger, CCCH-type,				SM00356:ZnF_C3H1,	3D-structure,Alternative splicing,Complete proteome,Corneal dystrophy,Cytoplasm,Disease mutation,Metal-binding,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,RNA-binding,Zinc,Zinc-finger,	chain:Muscleblind-like protein 1,helix,splice variant,strand,turn,zinc finger region:C3H1-type 1,zinc finger region:C3H1-type 2,zinc finger region:C3H1-type 3,zinc finger region:C3H1-type 4,
MSH3	mutS homolog 3(MSH3)	Homo sapiens			DNA replication, recombination, and repair,	GO:0000710~meiotic mismatch repair,GO:0006281~DNA repair,GO:0006298~mismatch repair,GO:0007131~reciprocal meiotic recombination,GO:0043570~maintenance of DNA repeat elements,GO:0045910~negative regulation of DNA recombination,GO:0051096~positive regulation of helicase activity,	GO:0000228~nuclear chromosome,GO:0005654~nucleoplasm,GO:0016020~membrane,GO:0032302~MutSbeta complex,	GO:0003684~damaged DNA binding,GO:0003697~single-stranded DNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019899~enzyme binding,GO:0030983~mismatched DNA binding,GO:0032137~guanine/thymine mispair binding,GO:0032139~dinucleotide insertion or deletion binding,GO:0032142~single guanine insertion binding,GO:0032181~dinucleotide repeat insertion binding,GO:0032357~oxidized purine DNA binding,GO:0042803~protein homodimerization activity,	IPR000432:DNA mismatch repair protein MutS, C-terminal,IPR007695:DNA mismatch repair protein MutS-like, N-terminal,IPR007696:DNA mismatch repair protein MutS, core,IPR007860:DNA mismatch repair protein MutS, connector domain,IPR016151:DNA mismatch repair protein MutS, N-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa03430:Mismatch repair,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,	608089~Endometrial carcinoma, somatic,		SM00533:MUTSd,SM00534:MUTSac,	3D-structure,ATP-binding,Complete proteome,DNA damage,DNA repair,DNA-binding,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,	chain:DNA mismatch repair protein Msh3,compositionally biased region:Poly-Ala,modified residue,nucleotide phosphate-binding region:ATP,region of interest:Interaction with EXO1,sequence conflict,sequence variant,
NRXN1	neurexin 1(NRXN1)	Homo sapiens				GO:0001525~angiogenesis,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007158~neuron cell-cell adhesion,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0007269~neurotransmitter secretion,GO:0007411~axon guidance,GO:0007416~synapse assembly,GO:0007612~learning,GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0021707~cerebellar granule cell differentiation,GO:0023041~neuronal signal transduction,GO:0030534~adult behavior,GO:0035176~social behavior,GO:0035418~protein localization to synapse,GO:0042297~vocal learning,GO:0045184~establishment of protein localization,GO:0050885~neuromuscular process controlling balance,GO:0051490~negative regulation of filopodium assembly,GO:0051965~positive regulation of synapse assembly,GO:0051968~positive regulation of synaptic transmission, glutamatergic,GO:0060134~prepulse inhibition,GO:0061178~regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0071625~vocalization behavior,GO:0090004~positive regulation of establishment of protein localization to plasma membrane,GO:0090126~protein complex assembly involved in synapse maturation,GO:0090129~positive regulation of synapse maturation,GO:0097091~synaptic vesicle clustering,GO:0097104~postsynaptic membrane assembly,GO:0097105~presynaptic membrane assembly,GO:0097112~gamma-aminobutyric acid receptor clustering,GO:0097114~NMDA glutamate receptor clustering,GO:0097116~gephyrin clustering involved in postsynaptic density assembly,GO:0097117~guanylate kinase-associated protein clustering,GO:0097118~neuroligin clustering involved in postsynaptic membrane assembly,GO:0097119~postsynaptic density protein 95 clustering,GO:0097120~receptor localization to synapse,GO:2000310~regulation of N-methyl-D-aspartate selective glutamate receptor activity,GO:2000311~regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity,GO:2000463~positive regulation of excitatory postsynaptic potential,GO:2000821~regulation of grooming behavior,	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030139~endocytic vesicle,GO:0031965~nuclear membrane,GO:0031982~vesicle,GO:0042734~presynaptic membrane,GO:0043025~neuronal cell body,GO:0043234~protein complex,GO:0044295~axonal growth cone,GO:0098793~presynapse,	GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005102~receptor binding,GO:0005246~calcium channel regulator activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0033130~acetylcholine receptor binding,GO:0046872~metal ion binding,GO:0048306~calcium-dependent protein binding,GO:0050839~cell adhesion molecule binding,GO:0097109~neuroligin family protein binding,	IPR000152:EGF-type aspartate/asparagine hydroxylation site,IPR000742:Epidermal growth factor-like domain,IPR001791:Laminin G domain,IPR003585:Neurexin/syndecan/glycophorin C,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR027158:Neurexin-1-alpha,	hsa04514:Cell adhesion molecules (CAMs),	614325~Pitt-Hopkins-like syndrome 2,614332~Schizophrenia, susceptibility to, 17,		SM00181:EGF,SM00282:LamG,SM00294:4.1m,	3D-structure,Alternative promoter usage,Alternative splicing,Angiogenesis,Calcium,Cell adhesion,Cell junction,Cell membrane,Complete proteome,Disulfide bond,EGF-like domain,Glycoprotein,Membrane,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Synapse,Transmembrane,Transmembrane helix,	chain:Neurexin-1-alpha,chain:Neurexin-1-beta,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Thr,disulfide bond,domain:EGF-like 1,domain:EGF-like 2,domain:EGF-like 3,domain:Laminin G-like,domain:Laminin G-like 1,domain:Laminin G-like 2,domain:Laminin G-like 3,domain:Laminin G-like 4,domain:Laminin G-like 5,domain:Laminin G-like 6,glycosylation site:N-linked (GlcNAc...),helix,metal ion-binding site:Calcium,metal ion-binding site:Calcium; via carbonyl oxygen,sequence conflict,sequence variant,signal peptide,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
